,avg_rss12_mean,avg_rss12_std,avg_rss12_min,avg_rss12_q1,avg_rss12_median,avg_rss12_q3,avg_rss12_max,var_rss12_mean,var_rss12_std,var_rss12_min,var_rss12_q1,var_rss12_median,var_rss12_q3,var_rss12_max,avg_rss13_mean,avg_rss13_std,avg_rss13_min,avg_rss13_q1,avg_rss13_median,avg_rss13_q3,avg_rss13_max,var_rss13_mean,var_rss13_std,var_rss13_min,var_rss13_q1,var_rss13_median,var_rss13_q3,var_rss13_max,avg_rss23_mean,avg_rss23_std,avg_rss23_min,avg_rss23_q1,avg_rss23_median,avg_rss23_q3,avg_rss23_max,var_rss23_mean,var_rss23_std,var_rss23_min,var_rss23_q1,var_rss23_median,var_rss23_q3,var_rss23_max
stand_1,44.33472916666665,2.476939557516521,33.33,42.25,45.0,46.5,48.0,0.43295833333333456,0.3705905662319225,0.0,0.0,0.47,0.5,3.9,11.646145833333332,3.6985188509169413,0.0,9.75,12.25,14.5,18.75,0.8430625000000015,0.8888062860036854,0.0,0.43,0.5,1.22,5.79,13.443708333333332,5.401794451550232,0.0,9.33,14.75,17.75,23.0,0.9330000000000013,0.673608795979444,0.0,0.47,0.83,1.25,5.02
stand_2,43.17493750000001,1.9890520807162566,35.5,42.5,43.67,44.5,46.25,0.5065833333333346,0.3074129259294917,0.0,0.43,0.5,0.5,2.12,12.771333333333333,3.2894886514518635,1.0,11.25,13.0,15.0,20.67,0.686687500000001,0.7653373089711031,0.0,0.0,0.485,0.87,6.56,14.2855,2.983975742483975,2.0,12.75,14.67,16.5,21.25,0.9119791666666676,0.6661612520713798,0.0,0.47,0.83,1.22,5.72
stand_3,42.76056250000001,3.3989188223628624,32.75,41.33,44.5,45.3725,47.0,0.48616666666666775,0.4465108214916141,0.0,0.0,0.47,0.5,3.34,15.036833333333336,3.121791542628973,1.5,14.0,15.25,17.0,21.0,0.588875000000002,0.7009992755648043,0.0,0.0,0.43,0.71,5.85,15.5508125,4.296574297677081,1.33,13.0,16.585,18.565,21.33,0.8422708333333345,0.7221653602176303,0.0,0.43,0.71,1.09,5.73
stand_4,42.648520833333336,2.3953380477130586,30.0,41.5,42.75,45.0,46.67,0.40283333333333415,0.41371867910682253,0.0,0.0,0.43,0.5,2.95,18.129291666666667,2.8504219953361583,3.0,18.0,18.5,19.75,21.25,0.4679791666666678,0.6872129726010735,0.0,0.0,0.43,0.5,7.5,12.060416666666667,3.1416794428525505,1.0,10.6275,12.29,14.25,20.75,0.9173541666666678,0.7096377090191418,0.0,0.47,0.83,1.12,4.64
stand_5,43.72002083333333,2.384104590166105,36.0,43.0,45.0,45.0,47.5,0.36670833333333397,0.37411663294383635,0.0,0.0,0.43,0.5,1.92,17.010270833333337,2.712218570025307,6.67,15.5,17.75,18.75,21.0,0.5443333333333347,0.743740176569456,0.0,0.0,0.43,0.71,6.02,13.198270833333336,3.289138342023333,1.0,11.31,13.75,15.5425,20.25,1.0396875000000017,0.9166573262160925,0.0,0.47,0.83,1.22,6.18
stand_6,44.47114583333334,1.772553369694926,34.5,45.0,45.0,45.25,47.75,0.2904791666666669,0.39291424901716704,0.0,0.0,0.0,0.5,2.18,17.948541666666664,2.5137962455263287,5.0,18.0,18.5,19.33,21.33,0.5662500000000019,0.7009811942238748,0.0,0.0,0.43,0.71,5.54,13.210083333333333,2.6123897811819674,1.0,12.0,13.0,14.8125,19.67,0.9273750000000016,0.7564358417422024,0.0,0.47,0.83,1.22,4.32
stand_7,46.224937499999996,1.7483150242620928,35.5,45.25,46.0,48.0,48.0,0.31235416666666704,0.4645410777597997,0.0,0.0,0.0,0.5,4.5,15.031687499999999,4.313437888240632,0.0,11.75,15.585,18.5,21.0,0.5985000000000014,0.6792328350859325,0.0,0.0,0.47,0.83,5.12,13.394020833333334,2.931580526558781,2.5,12.0,13.5,15.25,21.0,0.8825833333333348,0.6684234976152706,0.0,0.47,0.83,1.12,6.0
stand_8,46.93220833333336,1.8326652501011522,29.75,47.2375,47.5,47.75,48.0,0.4296666666666676,0.3672670229001663,0.0,0.43,0.5,0.5,4.6,16.847854166666664,2.6175134775986426,6.5,16.33,18.0,18.25,21.0,0.5354375000000019,0.7133231181061205,0.0,0.0,0.43,0.71,6.52,13.281875000000001,3.1348217053314396,2.67,11.67,13.67,15.5,21.25,0.9911250000000008,0.8553291037857189,0.0,0.47,0.83,1.22,6.58
stand_9,45.399625,1.3281210395986627,36.33,45.0,45.5,46.33,47.67,0.46014583333333386,0.26988859447423585,0.0,0.43,0.5,0.5,1.66,17.67139583333333,1.7458011451468247,1.5,17.4575,18.0,18.33,21.25,0.44131250000000133,0.4781660186465671,0.0,0.0,0.43,0.5,4.11,12.428541666666664,3.374095155644823,1.0,11.25,13.125,14.5,19.75,0.795104166666668,0.503006814581037,0.0,0.47,0.82,1.0,4.5
stand_10,42.41991666666667,2.5201292328042997,36.0,41.33,42.67,44.61750000000001,45.8,0.46056250000000126,0.3874049095394651,0.0,0.0,0.47,0.505,2.12,16.320541666666667,2.4667567049197476,6.33,15.0,16.75,18.0,24.0,0.7498958333333351,0.6676314266893602,0.0,0.43,0.5,1.0375,5.59,10.06775,3.722074076099902,2.0,7.6274999999999995,9.75,12.0,22.0,1.226270833333335,0.8919877930482647,0.0,0.5,1.09,1.585,6.65
stand_11,42.51695833333335,2.1957505739066567,37.0,41.0,42.5,44.5,48.25,0.440687500000001,0.34943041373021005,0.0,0.0,0.47,0.5,2.12,13.218729166666668,4.73534877561357,1.0,9.73,13.5,17.5,21.75,0.7999375000000015,0.8677683543167792,0.0,0.43,0.5,1.02,5.61,14.63975,3.623556589744585,1.0,12.6275,15.0,17.5,21.0,0.9774166666666684,0.8532795588593195,0.0,0.47,0.83,1.22,6.85
stand_12,42.95935416666665,1.500878170073181,36.25,42.0,42.67,44.33,45.5,0.35287500000000005,0.31358534280699785,0.0,0.0,0.47,0.5,2.6,11.780437499999998,3.0217463767146127,0.0,11.0,12.0,13.33,22.0,0.564187500000001,0.638179304659447,0.0,0.0,0.47,0.83,4.72,14.946020833333334,2.702604674127767,0.0,14.0,15.25,16.69,20.25,0.7484791666666684,0.4611517527043232,0.0,0.43,0.82,0.95,4.0
stand_13,42.67458333333335,2.384169571190206,36.0,40.0,43.67,44.75,47.33,0.4191666666666671,0.3683832154952147,0.0,0.0,0.47,0.5,2.17,12.110708333333337,3.556719876822628,0.0,11.6275,12.67,14.33,21.0,0.5675000000000014,0.7183642402210667,0.0,0.0,0.43,0.82,5.56,14.247458333333332,3.261616944432007,0.0,12.75,14.5,16.5,19.67,0.7020416666666681,0.5674508047371138,0.0,0.43,0.5,0.94,3.77
stand_14,43.187520833333345,2.4911617255369323,36.25,39.75,44.75,45.0,45.75,0.2712708333333336,0.32880731135317515,0.0,0.0,0.0,0.5,2.83,12.72810416666667,3.8598865210940723,0.0,10.67,12.71,15.0625,22.75,0.6427083333333345,0.6772732989226288,0.0,0.0,0.47,0.87,3.74,18.201437499999997,3.5660382829901818,2.0,16.5,18.25,21.0,24.0,0.645458333333335,0.5674189800196753,0.0,0.43,0.5,0.83,3.83
stand_15,44.441187499999984,2.417796501572595,36.0,44.6275,45.0,45.75,47.33,0.3466041666666672,0.3581131391639973,0.0,0.0,0.43,0.5,4.5,13.356270833333333,2.9550207883685564,3.0,12.0,13.5,15.5,21.0,0.6455833333333353,0.7182026927432162,0.0,0.0,0.47,0.83,5.54,12.611541666666662,3.414454372537926,1.0,11.0,12.75,14.67,21.0,1.1550833333333352,0.8420873219323645,0.0,0.5,0.94,1.5,5.91
wa_1,34.22777083333333,4.889576385883091,19.33,30.5,35.5,37.75,43.5,3.9957291666666634,2.271101902456072,0.0,2.375,3.63,5.342499999999999,14.5,15.713083333333334,2.8396949307857704,5.5,14.0,15.75,17.67,23.5,3.3038125000000007,1.667284694606942,0.0,2.05,3.2,4.44,8.86,16.621166666666667,3.0920937453436044,6.75,14.75,16.67,18.67,26.0,3.3941249999999963,1.7920898056759078,0.0,2.105,3.0999999999999996,4.425,9.74
wa_2,33.509729166666666,4.850923219878878,12.5,30.5,34.125,36.75,45.0,4.450770833333329,2.3386846644853803,0.0,2.74,4.085,5.89,13.05,15.557770833333336,2.9124042951263975,5.75,13.6275,15.635,17.5,23.75,3.350854166666666,1.6643779517171409,0.0,2.1675,3.11,4.44,9.1,16.541375,3.1335643703040863,7.25,14.6275,16.75,18.75,25.0,3.378479166666664,1.7873598108693112,0.0,2.06,3.085,4.44,8.96
wa_3,34.660583333333335,5.315110070930795,15.0,31.0,35.0,38.25,46.75,4.200895833333332,2.480206114234238,0.0,2.3425000000000002,3.9,5.672499999999999,13.44,15.223187500000002,3.1010173504475302,5.0,13.25,15.25,17.33,25.25,3.1113124999999995,1.6887446840113582,0.0,1.8,2.87,4.09,8.58,16.25104166666667,3.155015121326172,7.0,14.25,16.33,18.5,24.5,3.244395833333331,1.6309832995997882,0.0,2.12,3.0,4.24,8.99
wa_4,35.19333333333332,4.751867947550034,18.0,32.0,36.0,38.75,46.0,4.321020833333333,2.6255161138080427,0.0,2.4800000000000004,3.88,5.87,16.2,15.462229166666669,3.1142221119923126,5.67,13.33,15.67,17.5,24.5,3.0728541666666658,1.5087137229064196,0.0,1.9124999999999999,2.86,4.09,8.76,16.101208333333336,3.207642198601944,6.25,14.25,16.33,18.5,23.5,3.2419583333333315,1.7691824652470165,0.0,1.885,3.0149999999999997,4.44,8.5
wa_5,34.76333333333333,4.74220808365667,20.75,31.67,35.29,38.25,46.25,4.223791666666666,2.2780044279205445,0.0,2.49,3.9,5.7225,12.68,15.239020833333335,2.9208286065846374,5.0,13.5,15.33,17.25,23.75,3.2070624999999984,1.5904718632064376,0.0,2.05,3.0,4.195,9.2,16.2995625,3.1746807602150713,6.0,14.25,16.25,18.33,25.5,3.2882708333333333,1.6475277010299703,0.0,2.05,3.27,4.305,9.39
wa_6,34.935812500000004,4.6459444867043596,21.5,32.0,35.5,38.0625,51.0,4.115749999999996,2.3352426212727377,0.0,2.35,3.8449999999999998,5.625,12.21,15.524520833333332,2.900248239966241,6.5,13.33,15.5,17.67,23.33,3.0927916666666633,1.5034457702438166,0.0,2.0575,2.87,3.84,9.09,15.997229166666665,3.19205780277653,6.33,14.2375,16.25,18.25,25.0,3.280020833333331,1.7009176571462197,0.0,2.12,3.0149999999999997,4.5,10.21
wa_7,34.33304166666667,4.948769856038023,18.33,31.25,34.75,38.0,47.67,4.396958333333325,2.568679977144409,0.0,2.49,3.9,5.744999999999999,12.48,15.562895833333332,2.9677409200715883,7.67,13.67,15.5,17.5,23.33,3.198312499999997,1.6762705480191968,0.0,2.05,2.9299999999999997,4.245,9.01,15.864437500000001,3.000492669401746,6.67,13.75,16.0,18.0,24.0,3.261583333333332,1.6172896711183782,0.0,2.05,2.98,4.32,8.01
wa_8,34.599875,4.7317896600826534,18.33,31.5,35.125,38.0,45.75,4.398833333333333,2.5385209091914573,0.0,2.55,4.025,5.7675,15.37,15.173666666666668,3.036746262631229,5.5,13.0,15.0,17.3725,24.0,3.1454999999999993,1.5913463004691033,0.0,2.0374999999999996,3.0149999999999997,4.157500000000001,9.18,16.0555625,2.905687766232461,6.5,14.0,16.0,18.25,23.25,3.2895416666666626,1.680169553009909,0.0,2.12,3.0149999999999997,4.26,8.86
wa_9,34.225874999999995,4.441797589923912,15.5,31.25,34.75,37.25,43.67,4.354499999999998,2.518990618670896,0.0,2.49,3.9,5.765000000000001,17.24,15.606479166666665,2.81227370689409,7.67,13.75,15.5,17.5,23.0,3.365375,1.730792433484713,0.0,2.12,3.03,4.44,9.2,16.148000000000003,2.992920135830092,5.75,14.33,16.25,18.25,24.0,3.4795416666666648,1.7611462503638058,0.0,2.24,3.27,4.5375,9.42
wa_10,34.25352083333334,4.9407411456641395,21.5,30.9375,35.0,37.75,51.25,4.457895833333329,2.3871923283448884,0.0,2.7275,4.15,5.89,13.55,15.246291666666671,2.960901092589454,6.5,13.25,15.25,17.25,24.0,3.279145833333333,1.7593786563301361,0.0,2.0374999999999996,3.0999999999999996,4.4025,9.5,15.716083333333335,3.116626982952863,7.0,13.75,15.75,18.0,24.25,3.500749999999996,1.69237756315898,0.0,2.18,3.285,4.557499999999999,8.32
wa_11,33.586875,4.650935459926406,19.5,30.25,34.25,37.0,45.33,4.576562499999992,2.461077139185377,0.0,2.87,4.26,6.1049999999999995,14.67,15.317854166666667,2.97044006418753,7.33,13.25,15.33,17.27,23.25,3.227229166666665,1.6474741942924103,0.0,2.05,3.0999999999999996,4.26,9.0,15.892145833333334,3.2839834287518306,6.33,13.73,16.0,18.25,25.0,3.259729166666664,1.6402432891439511,0.0,2.05,3.11,4.3225,8.32
wa_12,34.32275,4.752477031316844,19.75,31.0,35.25,38.0,45.5,4.456333333333331,2.599284126060265,0.0,2.49,3.9,5.97,13.47,15.209770833333332,2.7110223767669726,6.25,13.5,15.25,17.0,22.25,3.277229166666663,1.50004607778335,0.0,2.17,3.11,4.39,9.0,15.550458333333331,3.1198562340300238,6.25,13.5,15.75,17.75,23.25,3.4325624999999973,1.7327271926847894,0.0,2.1574999999999998,3.2,4.5649999999999995,9.67
wa_13,34.54622916666667,4.84229350816215,19.5,31.25,35.25,37.8125,46.0,4.371958333333327,2.3604484372641146,0.0,2.49,4.135,5.8,12.47,15.185729166666665,2.757603549781887,7.0,13.25,15.25,17.0,22.67,3.028687499999997,1.6651843692394845,0.0,1.79,2.86,4.11,8.34,15.759541666666667,2.8231240558264434,7.0,14.0,15.75,17.75,22.75,3.3381250000000007,1.6567423530609375,0.0,2.16,3.08,4.335,10.0
wa_14,34.87322916666667,4.531720097876091,23.5,31.75,35.25,38.25,46.25,4.380583333333324,2.435437414539569,0.0,2.5,3.925,5.9325,14.82,15.471187500000003,2.8130774324891115,6.67,13.5,15.5,17.25,24.25,3.2056875000000002,1.5193478528515143,0.0,2.0575,3.03,4.19,9.9,15.873895833333334,3.1310759103795056,5.5,13.75,16.0,18.0,23.5,3.4246458333333307,1.690959838972557,0.0,2.17,3.27,4.5,9.51
wa_15,34.4731875,4.796705424484575,19.25,31.25,35.0,38.0,44.0,4.359312499999996,2.3887464384554966,0.0,2.49,3.96,5.8999999999999995,13.86,15.424708333333331,2.8020658793852,6.0,13.67,15.5,17.33,22.75,3.1882708333333327,1.602504215121308,0.0,2.05,3.03,4.0375,9.1,15.704166666666667,3.1563199240206394,4.67,13.73,16.0,17.75,23.25,3.34045833333333,1.699114161421211,0.43,2.12,3.09,4.375,9.0
